username,userid,profile_location,created_at,text,retweet_count,source,coordinates
WTF Just Happened,824720523904978944,"Seattle, WA",2023-01-18 23:30:09,"4/ Ron DeSantis called on the Republican-controlled Legislature to permanently ban Covid-19 health measures, like m… https://t.co/CxTOLUCzjM",2,TweetDeck,
Kristen Mag,194596555,"Seattle, WA",2023-01-18 19:49:17,"Several factors influence rates of reported covid deaths…obesity for one, testing rates, how deaths are recorded, a… https://t.co/JrgrgDsgZJ",3,Twitter for iPad,
Kristen Mag,194596555,"Seattle, WA",2023-01-18 19:25:55,"Several factors influence rates of reported covid deaths…obesity for one, testing rates, how deaths are recorded, a… https://t.co/VieH2aLzcc",0,Twitter for iPad,
Andy Stevens 🇺🇸,914961984101113860,"Bothell, WA",2023-01-18 19:21:48,"@smsicard He’s banning Covid vaccine mandates, which are still alive and causing havoc in my own state of WA.",0,Twitter for iPhone,
fiona stafford,1461544800050577409,"Bellevue, WA",2023-01-18 18:48:54,Free will yes!!! …. Is this DeSantis' vision for an anti-nanny state America? Republican presidential favorite prop… https://t.co/nGiB2rivlF,0,Twitter for iPhone,
Lisa Rogers Lowrance (She/her),115569182,"Seattle, WA",2023-01-18 18:46:11,"Florida Gov. Ron DeSantis seeks permanent ban on mandates for masks, COVID-19 vaccines - USA TODAY https://t.co/EMJNXEylVD",0,Twitter for iPad,
Brian,629054985,"Federal Way, WA",2023-01-18 03:51:53,@mytk56 @GossipersNLiars @TheBabylonBee And the mandates did nothing but make the military recruitment miss it’s go… https://t.co/hs0Hzr4fqu,0,Twitter for iPhone,
Gentry Gevers,1065260059318337536,"Seattle, WA",2023-01-18 03:19:35,"There’s so much searching for the truth about 

Covid 
Vaccines
Mandates
Voter integrity 
Climate change 
Altered f… https://t.co/21TWyB53zK",0,Twitter for iPhone,
Gentry Gevers,1065260059318337536,"Seattle, WA",2023-01-18 03:18:42,"There’s so much searching for the truth about 

Covid 
Vaccines
Mandates
Voter integrity 
Climate change 
Davos and… https://t.co/Y4jMLnT5Rf",0,Twitter for iPhone,
Ron Schoenberg,1385710496,"Burien, Washington, USA",2023-01-18 03:10:31,@SarahHuckabee Mask and vaccine mandates became politicized with the result the Covid death toll for Republicans be… https://t.co/0EJnkbPjwI,0,Twitter Web App,
Dan Whipple,2592461300,"Auburn, Wa",2023-01-18 01:31:46,@jeffreyatucker Covid infections rose during the mask mandates. Not saying masks caused it because they are ineffec… https://t.co/3wnrpbdUEW,0,Twitter for Android,
Alexandros Marinos 🏴‍☠️,14727549,"Seattle, WA",2023-01-17 21:34:55,"Yale university mandates bivalent booster for its students, regardless of how many monovalent boosters they got, wh… https://t.co/5MgN8qkGm4",1143,Twitter for Android,
Kristen Mag,194596555,"Seattle, WA",2023-01-17 06:36:30,@davidzweig @KelleyKga Colleges say they’re just “following CDC recommendations.” 🙄 And last week the CDC wrapped u… https://t.co/gbY4pgAcC2,7,Twitter for iPad,
BreathableMask,1461581457722249217,"Seattle, WA",2023-01-17 01:53:30,@1BethDutton I don’t remember to go alcohol beyond the covid mandates. Just thinking he covered all his life saving… https://t.co/lk5pr4sx6z,0,Twitter for iPhone,
Ron Schoenberg,1385710496,"Burien, Washington, USA",2023-01-17 01:01:57,@JackSachs0420 @DALupton Mask and vaccine mandates became political with the result the Republican Covid death rose… https://t.co/220UuCEcjQ,0,Twitter Web App,
