username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Brittknee ✌🖤🌱,35311989,"TX, USA",2023-01-18 23:13:51,"@healthbyjames The bribes, the lack of liability, the giant pr campaign, the mandates, the fact that covid wasn't s… https://t.co/fx2h4J3rUF",0,Twitter for Android,
Joyce,280228406,Earth,2023-01-18 21:49:39,"@GovDeSantis declares himself a little g god who decides who lives and who dies. Disgusting.

The Florida governor… https://t.co/VgKOUp9B77",0,Twitter Web App,
"Peter A. McCullough, MD, MPH™",1465347964252180493,Dallas Texas USA,2023-01-18 21:40:03,"""There is no scientific rationale for continuing any COVID-19 mandates in 2023 and beyond.  Mask and vaccine exempt… https://t.co/H7xHx7ZZI3",207,Twitter Web App,
Tia K,1379249535302635523,"Dallas, TX",2023-01-18 20:15:32,A reminder of what happens when we let govts take charge of our lives.  It was disgustingly easy for them to do thi… https://t.co/26a2Ht7Yll,0,Twitter for iPhone,
Management Impact Solutions Consulting,4734524106,"Fort Worth, TX",2023-01-18 18:36:44,Gov. Ron DeSantis proposes permanent ban on Covid mandates in Florida (NBC News) https://t.co/Ukv1h29PMx https://t.co/KKWbwFSpaO,0,SocialDog for Twitter,
Tim Tippit,43740069,"Edmond, Ok",2023-01-18 17:11:27,"Isn't it ironic that as the heat gets turned up on Biden and his document mess, the Administration reignites it cal… https://t.co/KAwX005Tje",0,Twitter Web App,
TheBlaze,10774652,"Dallas, TX",2023-01-18 15:33:27,"""I've faced a lot of bad guys, I have seen a lot of evil in this world...these government mandates, it's another fo… https://t.co/TrurszfGxE",27,Twitter Media Studio,
GrammyBlick,1470502648638058510,North Texas,2023-01-18 13:26:06,We were masked “to prevent the possible infections and deaths that could result if people didn't do the simple thin… https://t.co/fdQOpgZCdR,0,Twitter for iPhone,
Brian Harrison,62678998,"Ellis County, TX",2023-01-18 13:11:27,Texas must finally ban these liberty-destroying #COVID vaccine mandates. #txlege https://t.co/1NViBcPh76,13,Twitter for iPhone,
Francisco Gonzalez,1259608039235162112,"Dallas, TX",2023-01-18 05:16:40,@JoeBiden It’s not you. It’s people’s new found courage in the face of COVID and democrat mandates.,0,Twitter for iPhone,
🌊🌊Lisa Watson 🌊🌊,1009913389911506944,Earth,2023-01-18 01:35:41,"@RonDeSantisFL  wants YOU dead.

Gov. DeSantis proposes permanent ban on COVID-19 related mandates in Florida https://t.co/exrvPZGxJ6",0,Twitter Web App,
TheMrTTT,1598417065878102018,DFW Texas,2023-01-17 23:02:28,@RobertKennedyJr @ChildrensHD Seems we need to find a way to fund the deserved damage payments with garnished wages… https://t.co/f8nqPbR2sA,0,Twitter Web App,
Thomas Paradis,1593601328512630784,Earth,2023-01-17 21:50:11,"@GovAbbott Ban all mask mandates, lockdowns, vaccine passports, and recind the Covid emergency powers.",0,Twitter for Android,
TheBlaze,10774652,"Dallas, TX",2023-01-17 20:56:49,"Ron DeSantis rips Covid mandates:

""We need to lead with this by making all of these protections permanent in Flori… https://t.co/BMaQIKuEtr",20,TweetDeck,
Joe Gooding 💯🇺🇸,63996778,"Dallas, TX",2023-01-17 17:46:26,We all get that COVID-19 isn’t good but the medical establishments response to it was horrific. Mandates and a set… https://t.co/DVGJf2z8Ma,11,Twitter for iPhone,
Brian Harrison,62678998,"Ellis County, TX",2023-01-17 13:47:35,"Insane. 
End all #COVID mandates. 
End all COVID emergency declarations. 
Now. 
Like right now. 
Yesterday would’ve… https://t.co/hMkDeaHkQn",3,Twitter for iPhone,
Daniel & The Lions,1392826638463762433,Earth,2023-01-17 11:32:16,"@olafapijl @healthbyjames Not true for me, havent had covid yet and my whole vaccinated family have had it at least… https://t.co/BGtIORYnhk",1,Twitter for Android,
Flash River,1585418502147641344,"Oklahoma City, Oklahoma",2023-01-17 08:41:22,@realchrisrufo DeSantis was a go-along-to-get-along COVID Caving opportunist until thousands of God-Fearing People… https://t.co/Nloj56NoJd,0,Twitter Web App,
Flash River,1585418502147641344,"Oklahoma City, Oklahoma",2023-01-17 08:30:17,@LauraLoomer DeSantis was a go-along-to-get-along COVID Caving opportunist until thousands of God-Fearing People fo… https://t.co/Ec2xJeALSn,0,Twitter Web App,
Flash River,1585418502147641344,"Oklahoma City, Oklahoma",2023-01-17 08:18:16,"Many don't really understand that DeSantis is an opportunist. From the beginning, he went along to get along with C… https://t.co/9AG3VEEmqa",0,Twitter Web App,
🌟Rockin' in the Non Freeworld⚡,1506668131133329409,Earth,2023-01-17 04:43:48,"'You will own nothing, and you will be happy' is the 2.0 totalitarian state we are witnessing forming, via covid pr… https://t.co/sFrMrAU61Q",1,Twitter Web App,
John,1437248915779248132,Earth ,2023-01-17 01:50:10,@WFSBnews Don’t even go there! Masks don’t work against Covid! I can’t believe ti’s going on three years &amp; we are s… https://t.co/a15TtZW0DV,0,Twitter for iPad,
